Species,Date,CP,BP
WTSP,5/19/2016,2,0
WTSP,5/19/2016,0,0
WTSP,5/19/2016,1,0
BITH,5/20/2016,0,0
BITH,5/20/2016,0,0
WTSP,5/20/2016,2,0
WTSP,5/20/2016,2,0
BITH,5/31/2016,3,0
BITH,5/31/2016,0,0
BITH,5/31/2016,2,0
WTSP,5/31/2016,0,1
BITH,5/31/2016,0,0
WTSP,6/1/2016,0,1
WTSP,6/1/2016,2,0
WTSP,6/1/2016,0,0
BITH,6/1/2016,1,0
BITH,6/1/2016,3,0
BITH,6/1/2016,1,0
WTSP,6/1/2016,2,0
BITH,6/1/2016,0,0
BITH,6/1/2016,3,0
WTSP,6/14/2016,0,2
BITH,6/14/2016,3,0
WTSP,6/14/2016,3,0
BITH,6/14/2016,3,0
BITH,6/14/2016,3,0
BITH,6/15/2016,0,3
WTSP,6/15/2016,3,0
WTSP,6/15/2016,3,0
WTSP,6/15/2016,0,2
WTSP,6/15/2016,3,0
WTSP,6/15/2016,0,3
WTSP,6/15/2016,3,0
BITH,6/15/2016,0,3
WTSP,6/15/2016,3,0
BITH,6/15/2016,3,0
WTSP,6/15/2016,0,3
WTSP,6/15/2016,3,0
BITH,6/15/2016,3,0
BITH,6/15/2016,3,0
WTSP,6/15/2016,3,0
WTSP,6/15/2016,3,0
WTSP,6/22/2016,0,4
WTSP,6/22/2016,0,3
BITH,6/22/2016,0,4
BITH,6/22/2016,3,0
WTSP,6/22/2016,3,0
WTSP,6/22/2016,3,0
WTSP,6/22/2016,3,0
BITH,6/22/2016,0,3
BITH,6/22/2016,3,0
WTSP,6/23/2016,3,0
WTSP,6/23/2016,3,0
WTSP,6/23/2016,3,0
WTSP,6/23/2016,3,0
WTSP,6/23/2016,0,4
WTSP,6/23/2016,3,0
WTSP,6/23/2016,3,0
WTSP,6/23/2016,0,4
WTSP,6/23/2016,3,0
WTSP,6/23/2016,2,0
BITH,6/23/2016,3,0
WTSP,6/23/2016,3,0
WTSP,6/23/2016,3,0
WTSP,6/23/2016,3,0
WTSP,6/29/2016,0,3
BITH,6/29/2016,3,0
BITH,6/29/2016,3,0
BITH,6/29/2016,3,0
WTSP,6/29/2016,3,0
BITH,6/29/2016,3,0
BITH,6/30/2016,0,4
BITH,6/30/2016,0,3
BITH,6/30/2016,0,4
WTSP,6/30/2016,3,0
WTSP,6/30/2016,0,4
WTSP,6/30/2016,3,0
WTSP,6/30/2016,3,0
BITH,6/30/2016,3,0
BITH,6/30/2016,3,0
BITH,6/30/2016,3,0
BITH,6/30/2016,3,0
WTSP,6/30/2016,3,0
WTSP,6/30/2016,3,0
WTSP,6/30/2016,0,4
WTSP,6/30/2016,3,0
BITH,6/30/2016,3,0
WTSP,6/29/2016,0,3
WTSP,7/6/2016,2,0
WTSP,7/6/2016,0,4
BITH,7/6/2016,2,0
BITH,7/6/2016,3,0
BITH,7/6/2016,0,3
BITH,7/6/2016,3,0
WTSP,7/6/2016,3,0
BITH,7/7/2016,3,0
BITH,7/7/2016,2,0
WTSP,7/7/2016,3,0
BITH,7/7/2016,2,0
WTSP,7/7/2016,3,0
WTSP,7/7/2016,3,0
WTSP,7/7/2016,0,4
BITH,7/13/2016,0,4
WTSP,7/13/2016,2,0
BITH,7/13/2016,0,4
BITH,7/14/2016,2,0
BITH,7/14/2016,1,0
WTSP,7/14/2016,0,4
BITH,7/14/2016,1,0
BITH,7/14/2016,0,4
WTSP,7/14/2016,3,0
WTSP,7/14/2016,3,0
WTSP,7/20/2016,2,0
BITH,7/20/2016,0,4
WTSP,7/21/2016,2,0
BITH,7/21/2016,0,4
WTSP,7/21/2016,3,0
WTSP,7/21/2016,3,0
BITH,7/21/2016,2,0
WTSP,7/21/2016,2,0
BITH,7/27/2016,0,4
WTSP,7/28/2016,1,0
WTSP,7/28/2016,1,0
WTSP,7/28/2016,1,0